Type,Item Code,Consumer Description,Product Description,Brand,Category,Format,Variant,BUoM/ Pack Size,UoM,Pack/Case,HSN Code,Shelf Life,Shelf Life UoM,Sourcing Unit,Case/ Pallet,Layer/ Pallet,Pack/Unit,Case Length (mm),Case Width (mm),Case Height (mm),Sides UoM,Net Weight,Gross Weight,Wt. UoM,EAN/ Barcode,MRP,GST (%),Show / Hide,Combi Type,Combi Type Int
FG,XCCN500,Axe Deos Intense 215 ml X 24,AXE INTENSE DEO CAN 215ML,Axe,Deodorants & Fragrances,Deos,Intense 215 ml,215,ml,24,,24,Month,India,0,0,1,,,,,,,,,350,18%,Yes,PO1,PO1
FG,XCDH400,Rexona Roll-Ons Powder Dry 50 ml X 24,REXONA WOMEN ROLL ON POWDER DRY 50ML,Rexona,Deodorants & Fragrances,Roll-Ons,Powder Dry 50 ml,50,ml,24,,24,Month,India,0,0,1,,,,,,,,,190,18%,Yes,PO1,PO1
FG,XCDH600,Rexona Roll-Ons Powder Dry 25 ml X 24,REXONA WOMEN ROLL ON POWDER DRY 25ML,Rexona,Deodorants & Fragrances,Roll-Ons,Powder Dry 25 ml,25,ml,24,,24,Month,India,0,0,1,,,,,,,,,95,18%,Yes,PO1,PO1
FG,XCDH500,Rexona Roll-Ons Shower Fresh 25 ml X 24,REXONA WOMEN ROLL ON SHOWER FRESH 25ML,Rexona,Deodorants & Fragrances,Roll-Ons,Shower Fresh 25 ml,25,ml,24,,24,Month,India,0,0,1,,,,,,,,,95,18%,Yes,PO1,PO1
FG,XCDH300,Rexona Roll-Ons Shower Fresh 50 ml X 24,REXONA WOMEN ROLL ON SHOWER FRESH 50ML,Rexona,Deodorants & Fragrances,Roll-Ons,Shower Fresh 50 ml,50,ml,24,,24,Month,India,0,0,1,,,,,,,,,190,18%,Yes,PO1,PO1
FG,XCDH800,Rexona Roll-Ons Rose Whitening 50 ml X 24,REXONA FRESH ROSE WHITNG WMN ROLLON 50ML,Rexona,Deodorants & Fragrances,Roll-Ons,Rose Whitening 50 ml,50,ml,24,,24,Month,India,0,0,1,,,,,,,,,225,18%,Yes,PO1,PO1
FG,XCDH700,Rexona Roll-Ons Lily Whitening 50 ml X 24,Rexona Fresh Lily Whitng Wmn RollOn 50ml,Rexona,Deodorants & Fragrances,Roll-Ons,Lily Whitening 50 ml,50,ml,24,,24,Month,India,0,0,1,,,,,,,,,225,18%,Yes,PO1,PO1
FG,XCDH100,Rexona Roll-Ons Aloe Vera Mini 25 ml X 24,REXONA WOMEN ROLL ON ALOE VERA 25ML,Rexona,Deodorants & Fragrances,Roll-Ons,Aloe Vera Mini 25 ml,25,ml,24,,24,Month,India,0,0,1,,,,,,,,,95,18%,Yes,PO1,PO1
FG,XCDG900,Rexona Roll-Ons Aloe Vera 50 ml X 24,REXONA WOMEN ROLL ON ALOE VERA 50ML,Rexona,Deodorants & Fragrances,Roll-Ons,Aloe Vera 50 ml,50,ml,24,,24,Month,India,0,0,1,,,,,,,,,190,18%,Yes,PO1,PO1
FG,XCDF600,Dove Roll-Ons Beauty Finish 50 ml X 24,DOVE EVEN TONE ROLL ON 50 ml,Dove,Deodorants & Fragrances,Roll-Ons,Beauty Finish 50 ml,50,ml,24,,24,Month,India,0,0,1,,,,,,,,,259,18%,Yes,PO1,PO1
FG,XCDF400,Dove Roll-Ons Original 50 ml X 24,DOVE WOMEN ORIGINAL ROLL ON 50 ml,Dove,Deodorants & Fragrances,Roll-Ons,Original 50 ml,50,ml,24,,24,Month,India,0,0,1,,,,,,,,,259,18%,Yes,PO1,PO1
FG,XCDE500,Dove Deos Beauty Finish 150 ml X 24,DOVE EVEN TONE 150ML,Dove,Deodorants & Fragrances,Deos,Beauty Finish 150 ml,150,ml,24,,24,Month,India,0,0,1,,,,,,,,,289,18%,Yes,PO1,PO1
FG,XCDD900,Dove Deos Original 150 ml X 24,DOVE ORIGINAL DEODORANT CAN 150 ML,Dove,Deodorants & Fragrances,Deos,Original 150 ml,150,ml,24,,24,Month,India,0,0,1,,,,,,,,,289,18%,Yes,PO1,PO1
FG,XCCV400,Axe Ticket Deos Signature Dark Temptation 17 ml X 48,AXE Signature Ticket Dark Temptation 17 ml,Axe,Deodorants & Fragrances,Ticket Deos,Signature Dark Temptation 17 ml,17,ml,48,,24,Month,India,0,0,1,,,,,,,,,70,18%,Yes,PO1,PO1
FG,XCCV300,Axe Ticket Deos Champion Compact 17 ml X 48,Axe Signature Compact Spray Champion 17 ml,Axe,Deodorants & Fragrances,Ticket Deos,Champion Compact 17 ml,17,ml,48,,24,Month,India,0,0,1,,,,,,,,,70,18%,Yes,PO1,PO1
FG,XCCV100,Axe Ticket Deos Intense Compact 17 ml X 48,Axe Signature Compact Spray Intense 17 ml,Axe,Deodorants & Fragrances,Ticket Deos,Intense Compact 17 ml,17,ml,48,,24,Month,India,0,0,1,,,,,,,,,70,18%,Yes,PO1,PO1
FG,XCDF200,Axe Talc Denim 300 gms X 18,AXE DENIM TALCUM 300G,Axe,Deodorants & Fragrances,Talc,Denim 300 gms,300,gms,18,,24,Month,India,0,0,1,,,,,,,,,199,18%,Yes,PO1,PO1
FG,XCDE800,Axe Talc Denim 100 gms X 36,AXE DENIM TALCUM 100G,Axe,Deodorants & Fragrances,Talc,Denim 100 gms,100,gms,36,,24,Month,India,0,0,1,,,,,,,,,90,18%,Yes,PO1,PO1
FG,XCDF900,Axe Shaving Cream Denim 70 gms X 36,AxeSign Den Shvg Crm 36x60gms+30% Ext DM,Axe,Deodorants & Fragrances,Shaving Cream,Denim 70 gms,70,gms,36,,24,Month,India,0,0,1,,,,,,,,,89,18%,Yes,PO1,PO1
FG,XCDG200,Axe Shaving Cream Denim 30 gms X 63,Axe Sign Denim Shaving Crm 30g DM,Axe,Deodorants & Fragrances,Shaving Cream,Denim 30 gms,30,gms,63,,24,Month,India,0,0,1,,,,,,,,,51,18%,Yes,PO1,PO1
FG,XCCO900,Axe Grooming Kit E-Comm 372 ml X 6,MALE GROOMING KIT (ECOM)6X372ML,Axe,Deodorants & Fragrances,Grooming Kit,E-Comm 372 ml,372,ml,6,,24,Month,India,0,0,1,,,,,,,,,899,18%,Yes,PO1,PO1
FG,XCCU500,Axe Signature Deos Signature Jungle Fresh 200 ml X 15,AXE SIGN JUNGLE FRESH 200ML,Axe,Deodorants & Fragrances,Signature Deos,Signature Jungle Fresh 200 ml,200,ml,15,,24,Month,India,0,0,1,,,,,,,,,420,18%,Yes,PO1,PO1
